gene.7455.1428.0	sp|P17641.1|	37.634	93	8.36e-09	57.4	RecName: Full=Pathogenesis-related protein STH-21 [Solanum tuberosum]
gene.12551.2858.0	sp|Q8GT95.1|	84.437	302	2.04e-180	516	RecName: Full=Polygalacturonase inhibitor 1; AltName: Full=Floral organ regulator 1; AltName: Full=Polygalacturonase-inhibiting protein 1; Short=PGIP-1; Flags: Precursor [Oryza sativa Japonica Group]
gene.15015.459.0	sp|Q8RW93.1|	39.394	99	4.97e-09	55.1	RecName: Full=Putative lipid-binding protein At4g00165; Flags: Precursor [Arabidopsis thaliana]
gene.9471.1682.0	sp|Q7XUN6.2|	62.125	433	2.07e-161	486	RecName: Full=L-type lectin-domain containing receptor kinase SIT2; AltName: Full=Protein SALT INTOLERANCE 2; Flags: Precursor [Oryza sativa Japonica Group]
gene.11847.1854.0	sp|Q8RW93.1|	39.394	99	1.11e-08	56.2	RecName: Full=Putative lipid-binding protein At4g00165; Flags: Precursor [Arabidopsis thaliana]
gene.26003.2175.0	sp|Q42993.1|	80.066	301	1.44e-148	436	RecName: Full=Chitinase 1; AltName: Full=Class I chitinase a; Short=OsChia1a; AltName: Full=Pathogenesis related (PR)-3 chitinase 1; Flags: Precursor [Oryza sativa Japonica Group]
gene.20535.118.0	sp|P50696.1|	86.000	150	3.74e-84	260	RecName: Full=Thaumatin-like pathogenesis-related protein 2; Flags: Precursor [Avena sativa]
gene.22591.1166.0	sp|P24626.2|	78.261	299	6.75e-142	420	RecName: Full=Chitinase 3; AltName: Full=Basic endochitinase 1; AltName: Full=Class I chitinase c; Short=OsChia1c; AltName: Full=Pathogenesis related (PR)-3 chitinase 3; Flags: Precursor [Oryza sativa Japonica Group]
gene.37027.330.0	sp|O49607.1|	62.123	763	0.0	872	RecName: Full=Subtilisin-like protease SBT1.6; AltName: Full=Subtilase subfamily 1 member 6; Short=AtSBT1.6; AltName: Full=Subtilisin-like serine protease 2; Short=At-SLP2; Flags: Precursor [Arabidopsis thaliana]
gene.37231.4494.0	sp|Q6F4N5.1|	84.262	413	0.0	593	RecName: Full=Aspartyl protease 25; AltName: Full=Protein RICE ANTHER DOWN-REGULATED BY CHILLING 1; Flags: Precursor [Oryza sativa Japonica Group]
gene.38271.2796.0	sp|Q94HW2.1|	36.891	431	5.42e-77	275	RecName: Full=Retrovirus-related Pol polyprotein from transposon RE1; AltName: Full=Retro element 1; Short=AtRE1; Includes: RecName: Full=Protease RE1; Includes: RecName: Full=Reverse transcriptase RE1; Includes: RecName: Full=Endonuclease RE1 [Arabidopsis thaliana]
gene.39343.287.0	sp|P33679.2|	68.317	202	4.18e-97	296	RecName: Full=Zeamatin; Flags: Precursor [Zea mays]
gene.31631.1615.0	sp|P33679.2|	70.297	202	7.97e-98	301	RecName: Full=Zeamatin; Flags: Precursor [Zea mays]
gene.33619.473.0	sp|B4FVP3.1|	71.144	201	1.35e-103	314	RecName: Full=Zealexin A1 synthase; AltName: Full=Cytochrome P450 71Z18 [Zea mays]
gene.48167.359.0	sp|Q99315.3|	38.298	282	6.30e-48	197	RecName: Full=Transposon Ty3-G Gag-Pol polyprotein; AltName: Full=Gag3-Pol3; AltName: Full=Transposon Ty3-1 TYA-TYB polyprotein; Contains: RecName: Full=Capsid protein; Short=CA; AltName: Full=p24; Contains: RecName: Full=Spacer peptide p3; Contains: RecName: Full=Nucleocapsid protein p11; Short=NC; Contains: RecName: Full=Ty3 protease; Short=PR; AltName: Full=p16; Contains: RecName: Full=Spacer peptide J; Contains: RecName: Full=Reverse transcriptase/ribonuclease H; Short=RT; Short=RT-RH; AltName: Full=p55; Contains: RecName: Full=Integrase p61; Short=IN; Contains: RecName: Full=Integrase p58; Short=IN [Saccharomyces cerevisiae S288C]
gene.42735.11.0	sp|P81370.2|	58.586	198	2.75e-75	237	RecName: Full=Thaumatin-like protein; AltName: Allergen=Act d 2; Flags: Precursor [Actinidia deliciosa]
gene.55079.1429.0	sp|Q8W3M4.1|	43.626	353	1.23e-80	261	RecName: Full=Uncharacterized protein At4g06744; Flags: Precursor [Arabidopsis thaliana]
gene.56365.3284.0	sp|A3BEP8.1|	46.914	162	2.88e-34	138	RecName: Full=Early nodulin-like protein 18; Short=OsENODL18; AltName: Full=Early nodulin 20; Short=OsEN20; AltName: Full=Early nodulin-like arabinogalactan protein 3; Short=OsELA3; Flags: Precursor [Oryza sativa Japonica Group]
gene.53199.474.0	sp|P0DXJ4.1|	42.151	344	1.03e-73	242	RecName: Full=Acetylajmalan esterase 1; Short=RsAAE1; Flags: Precursor [Rauvolfia serpentina]
gene.62511.1165.0	sp|Q6NQA8.1|	48.780	123	1.12e-29	130	RecName: Full=Probable apyrase 5; Short=AtAPY5; AltName: Full=ATP-diphosphatase; AltName: Full=ATP-diphosphohydrolase; AltName: Full=Adenosine diphosphatase; Short=ADPase; AltName: Full=NTPDase; AltName: Full=Nucleoside triphosphate diphosphohydrolase 5 [Arabidopsis thaliana]
gene.65523.362.0	sp|P14381.1|	24.450	773	1.01e-37	159	RecName: Full=Transposon TX1 uncharacterized 149 kDa protein; AltName: Full=ORF 2 [Xenopus laevis]
gene.67123.154.0	sp|P35792.1|	82.317	164	2.88e-75	236	RecName: Full=Pathogenesis-related protein PRB1-2; Flags: Precursor [Hordeum vulgare]
gene.58883.636.0	sp|Q05968.1|	83.537	164	4.40e-80	249	RecName: Full=Pathogenesis-related protein 1; Flags: Precursor [Hordeum vulgare]
