gene.4935.3861.0	gi|2922513494|ref|XM_071824699.1|	99.559	227	4.78e-110	414	PREDICTED: Lolium perenne F-box/kelch-repeat protein At2g43270 (LOC127311796), transcript variant X1, mRNA
gene.1799.391.0	gi|2922456269|ref|XM_071827229.1|	92.704	2700	0.0	3877	PREDICTED: Lolium perenne uncharacterized protein (LOC139837911), mRNA
gene.12151.3667.0	gi|2212569788|ref|XM_047211925.1|	93.543	604	0.0	893	PREDICTED: Lolium rigidum uncharacterized LOC124675855 (LOC124675855), mRNA
gene.12195.6415.0	gi|2922445202|ref|XM_051358217.2|	93.562	963	0.0	1419	PREDICTED: Lolium perenne dirigent protein 5 (LOC127331974), mRNA
gene.14587.200.0	gi|359301480|gb|JN969602.1|	94.643	224	1.20e-89	346	Lolium perenne retrotransposon Camilla_74D14_1, partial sequence; VRN1 (Lp_74D14_1) and unknown (Lp_74D14_2) genes, complete cds; and retrotransposons Camilla_74D14_2 and Camilla_74D14_3, complete sequence
gene.18343.3927.0	gi|2922434771|ref|XR_007849222.2|	98.087	941	0.0	1639	PREDICTED: Lolium perenne uncharacterized lncRNA (LOC127297530), ncRNA
gene.11491.2147.0	gi|2922451273|ref|XM_051363210.2|	87.562	201	7.12e-54	228	PREDICTED: Lolium perenne uncharacterized protein (LOC127336400), mRNA
gene.11491.2159.0	gi|2922451273|ref|XM_051363210.2|	88.557	201	3.28e-57	239	PREDICTED: Lolium perenne uncharacterized protein (LOC127336400), mRNA
gene.26691.1312.0	gi|2212456235|ref|XR_006997157.1|	77.610	996	7.87e-147	536	PREDICTED: Lolium rigidum uncharacterized LOC124684776 (LOC124684776), transcript variant X5, ncRNA
gene.22579.2151.0	gi|2922462950|ref|XM_051369445.2|	95.957	2968	0.0	4811	PREDICTED: Lolium perenne uncharacterized protein (LOC127343330), mRNA
gene.34235.4975.0	gi|2922467551|ref|XM_051351762.2|	94.812	1889	0.0	2942	PREDICTED: Lolium perenne uncharacterized protein (LOC127323650), mRNA
gene.43299.887.0	gi|2922430853|ref|XR_011750627.1|	89.508	3050	0.0	3777	PREDICTED: Lolium perenne uncharacterized lncRNA (LOC127321352), ncRNA
gene.43931.411.0	gi|2922451273|ref|XM_051363210.2|	88.557	201	1.21e-56	239	PREDICTED: Lolium perenne uncharacterized protein (LOC127336400), mRNA
gene.58351.1715.0	gi|2922480395|ref|XR_011744183.1|	92.941	85	6.07e-22	121	PREDICTED: Lolium perenne uncharacterized lncRNA (LOC127297650), ncRNA
gene.53699.75.0	gi|2922513494|ref|XM_071824699.1|	98.678	227	1.11e-106	403	PREDICTED: Lolium perenne F-box/kelch-repeat protein At2g43270 (LOC127311796), transcript variant X1, mRNA
gene.62015.311.0	gi|2187126051|emb|OV702300.1|	85.113	618	3.07e-173	625	Avena sativa genome assembly, chromosome: 22
gene.63019.1618.0	gi|2687147308|gb|CP145507.1|	86.216	3613	0.0	3838	Brachypodium hybridum ecotype IBd483 chromosome BhS5 sequence
